"交易类型","代码","名称","金额","余额","币种","创建时间"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-451.00","14,257.18","USD","2025/04/17 22:55:39"
"ETFs买入费用","GLD","黄金ETF-SPDR","-2.25","14,708.18","USD","2025/04/17 15:16:55"
"ETFs买入成交","GLD","黄金ETF-SPDR","-26,010.00","14,710.43","USD","2025/04/17 15:16:44"
"ETFs卖出费用","GLD","黄金ETF-SPDR","-2.98","40,720.43","USD","2025/04/16 23:41:58"
"ETFs卖出成交","GLD","黄金ETF-SPDR","+26,027.00","40,723.41","USD","2025/04/16 23:41:46"
"ETFs买入费用","SOXL","三倍做多半导体ETF-Direxion","-2.14","14,696.41","USD","2025/04/16 13:52:40"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-459.00","14,698.55","USD","2025/04/16 13:52:28"
"ETFs卖出费用","SOXL","三倍做多半导体ETF-Direxion","-2.34","15,157.55","USD","2025/04/15 22:09:20"
"ETFs卖出成交","SOXL","三倍做多半导体ETF-Direxion","+1,096.00","15,159.89","USD","2025/04/15 22:09:09"
"股票买入费用","00981","中芯国际","-180.50","46,205.30","HKD","2025/04/11 15:59:29"
"股票买入成交","00981","中芯国际","-117,250.00","46,385.80","HKD","2025/04/11 15:59:16"
"股票卖出费用","00981","中芯国际","-50.21","163,635.80","HKD","2025/04/11 11:47:35"
"股票卖出成交","00981","中芯国际","+23,900.00","163,686.01","HKD","2025/04/11 11:47:27"
"股票卖出费用","00981","中芯国际","-50.12","139,786.01","HKD","2025/04/11 11:30:38"
"股票卖出成交","00981","中芯国际","+23,650.00","139,836.13","HKD","2025/04/11 11:30:27"
"股票卖出费用","00981","中芯国际","-50.03","116,186.13","HKD","2025/04/11 11:29:02"
"股票卖出成交","00981","中芯国际","+23,450.00","116,236.16","HKD","2025/04/11 11:28:51"
"股票卖出费用","00981","中芯国际","-49.92","92,786.16","HKD","2025/04/11 09:58:36"
"股票卖出成交","00981","中芯国际","+23,150.00","92,836.08","HKD","2025/04/11 09:58:26"
"股票卖出费用","00981","中芯国际","-48.73","69,686.08","HKD","2025/04/11 09:37:11"
"股票卖出成交","00981","中芯国际","+22,700.00","69,734.81","HKD","2025/04/11 09:35:03"
"ETFs卖出费用","SOXL","三倍做多半导体ETF-Direxion","-9.29","14,063.89","USD","2025/04/11 02:40:12"
"ETFs卖出成交","SOXL","三倍做多半导体ETF-Direxion","+6,811.00","14,073.18","USD","2025/04/11 02:40:04"
"ETFs卖出费用","SOXL","三倍做多半导体ETF-Direxion","-13.34","7,262.18","USD","2025/04/11 02:31:55"
"ETFs卖出成交","SOXL","三倍做多半导体ETF-Direxion","+9,850.00","7,275.52","USD","2025/04/11 02:31:47"
"ETFs买入费用","SOXL","三倍做多半导体ETF-Direxion","-2.23","-2,574.48","USD","2025/04/11 00:14:53"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-715.20","-2,572.25","USD","2025/04/11 00:14:41"
"ETFs卖出费用","TLT","20+年以上美国国债ETF-iShares","-2.14","-1,857.05","USD","2025/04/11 00:14:19"
"ETFs卖出成交","TLT","20+年以上美国国债ETF-iShares","+2,175.00","-1,854.91","USD","2025/04/11 00:14:05"
"ETFs买入费用","SOXL","三倍做多半导体ETF-Direxion","-4.98","-4,029.91","USD","2025/04/10 23:52:27"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-3,542.00","-4,024.93","USD","2025/04/10 23:52:14"
"股票卖出费用","PDD","拼多多","-2.42","-482.93","USD","2025/04/10 23:52:02"
"股票卖出成交","PDD","拼多多","+6,750.75","-480.51","USD","2025/04/10 23:51:46"
"ETFs买入费用","SOXL","三倍做多半导体ETF-Direxion","-5.55","-7,231.26","USD","2025/04/10 23:50:34"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-3,999.00","-7,225.71","USD","2025/04/10 23:50:20"
"ETFs买入费用","SOXL","三倍做多半导体ETF-Direxion","-6.45","-3,226.71","USD","2025/04/10 23:39:25"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-4,314.08","-3,220.26","USD","2025/04/10 23:39:15"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-28.32","1,093.82","USD","2025/04/10 23:39:14"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-94.40","1,122.14","USD","2025/04/10 23:39:14"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-283.20","1,216.54","USD","2025/04/10 23:39:14"
"ETFs买入费用","SOXL","三倍做多半导体ETF-Direxion","-6.45","1,499.74","USD","2025/04/10 23:30:09"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-1,117.35","1,506.19","USD","2025/04/10 23:29:58"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-1,547.10","2,623.54","USD","2025/04/10 23:29:58"
"ETFs买入成交","SOXL","三倍做多半导体ETF-Direxion","-2,110.55","4,170.64","USD","2025/04/10 23:29:56"
"股票买入费用","PDD","拼多多","-2.07","6,281.19","USD","2025/04/10 23:10:45"
"股票买入成交","PDD","拼多多","-2,250.00","6,283.26","USD","2025/04/10 23:10:32"
"股票买入费用","PDD","拼多多","-2.07","8,533.26","USD","2025/04/10 21:45:45"
"股票买入成交","PDD","拼多多","-2,272.50","8,535.33","USD","2025/04/10 21:45:30"
"股票买入费用","PDD","拼多多","-2.07","10,807.83","USD","2025/04/10 21:41:18"
"股票买入成交","PDD","拼多多","-2,295.00","10,809.90","USD","2025/04/10 21:41:05"
"股票买入费用","DIS","迪士尼","-2.14","13,104.90","USD","2025/04/10 20:50:05"
"股票买入成交","DIS","迪士尼","-2,495.08","13,107.04","USD","2025/04/10 20:49:53"
"股票买入成交","DIS","迪士尼","-1,960.42","15,602.12","USD","2025/04/10 20:49:53"
"股票卖出费用","DIS","迪士尼","-2.29","17,562.54","USD","2025/04/10 18:19:56"
"股票卖出成交","DIS","迪士尼","+2,339.48","17,564.83","USD","2025/04/10 18:19:48"
"股票卖出成交","DIS","迪士尼","+2,159.52","15,225.35","USD","2025/04/10 18:19:48"
"股票买入费用","00981","中芯国际","-77.83","47,034.81","HKD","2025/04/10 15:43:12"
"股票买入成交","00981","中芯国际","-43,700.00","47,112.64","HKD","2025/04/10 15:43:00"
"股票买入费用","00981","中芯国际","-78.97","90,812.64","HKD","2025/04/10 14:45:31"
"股票买入成交","00981","中芯国际","-44,050.00","90,891.61","HKD","2025/04/10 14:45:21"
"股票买入费用","00981","中芯国际","-79.02","134,941.61","HKD","2025/04/10 11:41:12"
"股票买入成交","00981","中芯国际","-44,200.00","135,020.63","HKD","2025/04/10 11:40:59"
"股票卖出费用","00981","中芯国际","-81.83","179,220.63","HKD","2025/04/10 10:06:54"
"股票卖出费用","PDD","拼多多","-2.15","13,065.83","USD","2025/04/10 10:04:10"
"股票卖出成交","00981","中芯国际","+46,300.00","179,302.46","HKD","2025/04/10 09:59:54"
"股票卖出费用","00981","中芯国际","-48.84","133,002.46","HKD","2025/04/10 09:58:22"
"股票卖出成交","PDD","拼多多","+2,450.00","13,067.98","USD","2025/04/10 09:57:12"
"股票卖出费用","00981","中芯国际","-48.78","133,051.30","HKD","2025/04/10 09:57:03"
"股票卖出成交","00981","中芯国际","+22,950.00","133,100.08","HKD","2025/04/10 09:51:03"
"股票卖出成交","00981","中芯国际","+22,800.00","110,150.08","HKD","2025/04/10 09:49:46"
"股票卖出费用","00981","中芯国际","-48.72","87,350.08","HKD","2025/04/10 09:47:13"
"股票卖出成交","00981","中芯国际","+22,650.00","87,398.80","HKD","2025/04/10 09:38:27"
"股票卖出费用","PDD","拼多多","-2.15","10,617.98","USD","2025/04/10 07:31:37"
"股票卖出成交","PDD","拼多多","+2,440.00","10,620.13","USD","2025/04/10 07:31:28"
"股票买入费用","PDD","拼多多","-2.08","8,180.13","USD","2025/04/10 00:07:46"
"股票买入成交","PDD","拼多多","-2,655.00","8,182.21","USD","2025/04/10 00:07:33"
"股票买入费用","PDD","拼多多","-2.05","10,837.21","USD","2025/04/09 22:51:32"
"股票买入成交","PDD","拼多多","-1,790.00","10,839.26","USD","2025/04/09 22:51:22"
"ETFs卖出费用","TLT","20+年以上美国国债ETF-iShares","-2.14","12,629.26","USD","2025/04/09 21:15:03"
"ETFs卖出成交","TLT","20+年以上美国国债ETF-iShares","+2,165.00","12,631.40","USD","2025/04/09 21:14:52"
"股票卖出费用","00981","中芯国际","-47.31","64,748.80","HKD","2025/04/09 13:56:55"
"股票卖出成交","00981","中芯国际","+21,600.00","64,796.11","HKD","2025/04/09 13:56:44"
"股票卖出费用","00981","中芯国际","-47.23","43,196.11","HKD","2025/04/09 13:43:27"
"股票卖出成交","00981","中芯国际","+21,375.00","43,243.34","HKD","2025/04/09 13:43:16"
"ETFs卖出费用","TLT","20+年以上美国国债ETF-iShares","-2.87","10,466.40","USD","2025/04/09 13:22:03"
"ETFs卖出成交","TLT","20+年以上美国国债ETF-iShares","+11,448.64","10,469.27","USD","2025/04/09 13:21:50"
"ETFs卖出成交","TLT","20+年以上美国国债ETF-iShares","+344.32","-979.37","USD","2025/04/09 13:21:29"
"ETFs卖出成交","TLT","20+年以上美国国债ETF-iShares","+430.40","-1,323.69","USD","2025/04/09 13:21:10"
"ETFs卖出成交","TLT","20+年以上美国国债ETF-iShares","+258.24","-1,754.09","USD","2025/04/09 13:21:05"
"ETFs卖出成交","TLT","20+年以上美国国债ETF-iShares","+430.40","-2,012.33","USD","2025/04/09 13:21:01"
"ETFs卖出费用","TLT","20+年以上美国国债ETF-iShares","-5.03","-2,442.73","USD","2025/04/09 13:18:40"
"ETFs卖出成交","TLT","20+年以上美国国债ETF-iShares","+27,933.75","-2,437.70","USD","2025/04/09 13:18:29"
"ETFs买入费用","TLT","20+年以上美国国债ETF-iShares","-2.14","-30,371.45","USD","2025/04/09 12:11:27"
"ETFs买入成交","TLT","20+年以上美国国债ETF-iShares","-4,240.00","-30,369.31","USD","2025/04/09 12:11:19"
"股票卖出费用","XYZ","Block","-2.27","-26,129.31","USD","2025/04/09 12:06:04"
"股票卖出成交","XYZ","Block","+1,283.85","-26,127.04","USD","2025/04/09 12:05:52"
"股票卖出成交","XYZ","Block","+47.56","-27,410.89","USD","2025/04/09 12:05:42"
"股票卖出成交","XYZ","Block","+95.12","-27,458.45","USD","2025/04/09 12:05:42"
"股票卖出成交","XYZ","Block","+953.00","-27,553.57","USD","2025/04/09 12:04:55"
"ETFs买入费用","TLT","20+年以上美国国债ETF-iShares","-2.10","-28,506.57","USD","2025/04/09 11:59:46"
"ETFs买入成交","TLT","20+年以上美国国债ETF-iShares","-2,975.70","-28,504.47","USD","2025/04/09 11:59:36"
"ETFs买入费用","TLT","20+年以上美国国债ETF-iShares","-5.68","-25,528.77","USD","2025/04/09 11:37:20"
"ETFs买入成交","TLT","20+年以上美国国债ETF-iShares","-37,787.20","-25,523.09","USD","2025/04/09 11:37:11"
"股票卖出费用","00981","中芯国际","-47.38","21,868.34","HKD","2025/04/09 10:17:41"
"股票卖出成交","00981","中芯国际","+21,750.00","21,915.72","HKD","2025/04/09 10:17:26"
"股票买入费用","XYZ","Block","-2.14","12,264.11","USD","2025/04/09 01:11:41"
"股票买入成交","XYZ","Block","-2,490.00","12,266.25","USD","2025/04/09 01:11:31"
"股票买入费用","AVGO","博通","-2.85","14,756.25","USD","2025/04/09 00:36:07"
"股票买入成交","AVGO","博通","-35,846.20","14,759.10","USD","2025/04/09 00:35:55"
"股票卖出费用","AVGO","博通","-2.16","50,605.30","USD","2025/04/08 19:44:42"
"股票卖出成交","AVGO","博通","+3,431.40","50,607.46","USD","2025/04/08 19:44:34"
"股票卖出费用","NVDA","英伟达","-2.15","47,176.06","USD","2025/04/08 19:43:54"
"股票卖出成交","NVDA","英伟达","+2,534.50","47,178.21","USD","2025/04/08 19:43:46"
"股票卖出费用","AVGO","博通","-3.52","44,643.71","USD","2025/04/08 19:36:37"
"股票卖出成交","AVGO","博通","+32,500.00","44,647.23","USD","2025/04/08 19:36:25"
"股票卖出费用","NVDA","英伟达","-2.15","12,147.23","USD","2025/04/08 19:00:23"
"股票卖出成交","NVDA","英伟达","+2,505.00","12,149.38","USD","2025/04/08 19:00:12"
"股票卖出费用","NVDA","英伟达","-2.29","9,644.38","USD","2025/04/07 23:18:07"
"股票卖出成交","NVDA","英伟达","+4,900.00","9,646.67","USD","2025/04/07 23:02:40"
"股票卖出费用","NVDA","英伟达","-2.44","4,746.67","USD","2025/04/07 16:30:56"
"股票卖出成交","NVDA","英伟达","+7,120.80","4,749.11","USD","2025/04/07 16:30:46"
"股票卖出费用","XYZ","Block","-2.23","-2,371.69","USD","2025/04/07 14:58:00"
"股票卖出成交","XYZ","Block","+1,388.10","-2,369.46","USD","2025/04/07 14:57:46"
"股票卖出成交","XYZ","Block","+925.60","-3,757.56","USD","2025/04/07 14:57:39"
"股票买入费用","NVDA","英伟达","-2.07","-4,683.16","USD","2025/04/07 14:31:15"
"股票买入成交","NVDA","英伟达","-85.01","-4,681.09","USD","2025/04/07 14:31:05"
"股票买入成交","NVDA","英伟达","-85.01","-4,596.08","USD","2025/04/07 14:31:01"
"股票买入成交","NVDA","英伟达","-2,380.28","-4,511.07","USD","2025/04/07 14:31:00"
"股票买入费用","NVDA","英伟达","-2.14","-2,130.79","USD","2025/04/07 14:14:49"
"股票买入成交","NVDA","英伟达","-4,280.00","-2,128.65","USD","2025/04/07 14:14:38"
"股票买入费用","XYZ","Block","-2.14","2,151.35","USD","2025/04/07 13:58:19"
"股票买入成交","XYZ","Block","-2,305.50","2,153.49","USD","2025/04/07 13:58:07"
"股票买入费用","NVDA","英伟达","-2.07","4,458.99","USD","2025/04/07 13:48:26"
"股票买入成交","NVDA","英伟达","-2,150.25","4,461.06","USD","2025/04/07 13:48:12"
"股票卖出费用","01519","极兔速递-W","-83.40","165.72","HKD","2025/04/07 13:07:19"
"股票卖出成交","01519","极兔速递-W","+47,800.00","249.12","HKD","2025/04/07 13:07:06"
"股票买入费用","NVDA","英伟达","-2.07","6,611.31","USD","2025/04/07 12:10:10"
"股票买入成交","NVDA","英伟达","-2,176.25","6,613.38","USD","2025/04/07 12:10:01"
"股票买入费用","NVDA","英伟达","-2.07","8,789.63","USD","2025/04/07 11:27:05"
"股票买入成交","NVDA","英伟达","-2,190.00","8,791.70","USD","2025/04/07 11:26:53"
"股票买入费用","01519","极兔速递-W","-44.44","-47,550.88","HKD","2025/04/07 10:15:07"
