date,code,name,qty,price,pnl,ccy
2025-04-21,SOXL,三倍做多半导体ETF-Direxion,100.0,8.77,-22.2,USD
2025-04-21,SOXL,三倍做多半导体ETF-Direxion,150.0,8.77,-30.5,USD
2025-04-21,SOXL,三倍做多半导体ETF-Direxion,50.0,8.77,13.5,USD
2025-04-22,NVDA,英伟达,25.0,98.18,329.25,USD
2025-04-22,SOXL,三倍做多半导体ETF-Direxion,100.0,9.24,85.0,USD
2025-04-22,NVDA,英伟达,15.0,99.2,62.15,USD
2025-04-22,SOXL,三倍做多半导体ETF-Direxion,100.0,9.3,107.0,USD
2025-04-23,SQQQ,三倍做空纳指ETF-ProShares,50.0,35.8,93.5,USD
2025-04-25,NVDA,英伟达,10.0,108.2,103.0,USD
2025-04-25,NVDA,英伟达,10.0,108.35,105.5,USD
2025-04-25,NVDA,英伟达,10.0,108.5,114.0,USD
2025-04-25,NVDA,英伟达,20.0,108.95,252.5,USD
2025-04-25,NVDA,英伟达,10.0,109.1,0.0,USD
2025-04-25,NVDA,英伟达,30.0,109.5,0.0,USD
2025-04-25,SOXL,三倍做多半导体ETF-Direxion,100.0,12.2,402.0,USD
2025-04-25,NVDA,英伟达,20.0,110.08,0.0,USD
2025-04-28,SQQQ,三倍做空纳指ETF-ProShares,370.0,32.8,-236.25,USD
2025-04-28,SQQQ,三倍做空纳指ETF-ProShares,300.0,32.9,208.9,USD
2025-05-04,SQQQ,三倍做空纳指ETF-ProShares,280.0,29.12,-546.8,USD
2025-05-04,SQQQ,三倍做空纳指ETF-ProShares,100.0,29.35,13.5,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,60.0,29.58,31.0,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,6.0,29.58,3.36,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,134.0,29.58,82.24,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,24.0,29.62,16.68,USD
2025-05-05,SQQQ,三倍做空纳指ETF-ProShares,176.0,29.62,132.32,USD
2025-05-06,SQQQ,三倍做空纳指ETF-ProShares,100.0,29.68,90.6,USD
2025-05-06,SQQQ,三倍做空纳指ETF-ProShares,100.0,29.75,103.8,USD
2025-05-12,SOXS,三倍做空半导体ETF-Direxion,300.0,12.8,91.0,USD
2025-05-13,SQQQ,三倍做空纳指ETF-ProShares,100.0,24.2,-426.0,USD
2025-05-14,SQQQ,三倍做空纳指ETF-ProShares,50.0,23.82,-252.0,USD
2025-07-21,SQQQ,三倍做空纳指ETF-ProShares,15.0,18.52,-155.1,USD
2025-07-21,SQQQ,三倍做空纳指ETF-ProShares,12.0,18.3425,-126.21,USD
2025-07-25,SQQQ,三倍做空纳指ETF-ProShares,11.0,18.1937,-117.33,USD
2025-07-28,SQQQ,三倍做空纳指ETF-ProShares,11.0,18.0132,-119.31,USD
2025-08-08,SQQQ,三倍做空纳指ETF-ProShares,40.0,17.5003,-475.45,USD
2025-08-15,SQQQ,三倍做空纳指ETF-ProShares,13.0,17.3001,-157.3,USD
2025-09-08,SQQQ,三倍做空纳指ETF-ProShares,14.0,17.1602,-171.36,USD
2025-09-12,SQQQ,三倍做空纳指ETF-ProShares,45.0,16.4737,-575.08,USD
2025-09-15,SQQQ,三倍做空纳指ETF-ProShares,12.0,16.2922,-150.09,USD
2025-09-15,SQQQ,三倍做空纳指ETF-ProShares,3.0,16.255,-37.64,USD
2025-09-19,SQQQ,三倍做空纳指ETF-ProShares,41.0,15.625,-537.12,USD
2025-10-03,SQQQ,三倍做空纳指ETF-ProShares,16.0,15.0401,-217.28,USD
2025-10-06,SQQQ,三倍做空纳指ETF-ProShares,20.0,14.7201,-277.34,USD
2025-10-20,SQQQ,三倍做空纳指ETF-ProShares,13.0,14.53355,-180.26,USD
2025-10-24,SQQQ,三倍做空纳指ETF-ProShares,42.0,13.895,-608.41,USD
2025-10-27,SQQQ,三倍做空纳指ETF-ProShares,31.0,13.405,-461.75,USD
2025-10-29,SQQQ,三倍做空纳指ETF-ProShares,661.0,12.76,-8106.94,USD
2026-02-26,ADBE,Adobe,5.0,258.8,0.43,USD
2026-02-26,ADBE,Adobe,5.0,258.8,60.5,USD
2026-02-26,TDOC,Teladoc Health,50.0,5.02,12.0,USD
2026-02-26,TDOC,Teladoc Health,50.0,5.15,18.5,USD
2026-03-02,IQ,爱奇艺,100.0,1.6,-5.0,USD
2026-03-03,ADBE,Adobe,5.0,266.0,101.0,USD
2026-03-09,NVDA,英伟达,30.0,179.8,2058.0,USD
2026-03-09,NVDA,英伟达,30.0,180.8,2088.0,USD
2026-03-09,NVDA,英伟达,25.0,182.4,1780.0,USD
2026-03-10,NVDA,英伟达,10.0,185.1,739.0,USD
2026-03-15,NVDA,英伟达,15.0,181.7,303.5,USD
2026-03-16,TDOC,Teladoc Health,42.0,5.39,32.34,USD
2026-03-16,TDOC,Teladoc Health,1.0,5.4,0.78,USD
